"isqno","atp_number","start_time_min","start_time_max","end_time_min","end_time_max","duration_max","duration_min","duration_only"
115,2,1800-06-14 13:00:00,1800-06-14 13:00:00,1800-06-14 21:00:00,1800-06-14 21:00:00,480,480,FALSE
116,1,1800-12-03 08:00:00,1800-12-03 08:00:00,1800-12-03 17:30:00,1800-12-03 17:30:00,570,570,FALSE
117,1,1805-12-02 08:00:00,1805-12-02 08:00:00,1805-12-02 17:00:00,1805-12-02 17:00:00,540,540,FALSE
118,1,1806-10-14 06:00:00,1806-10-14 06:00:00,1806-10-14 15:15:00,1806-10-14 15:15:00,555,555,FALSE
119,1,1806-10-14 08:00:00,1806-10-14 08:00:00,1806-10-14 16:00:00,1806-10-14 16:00:00,480,480,FALSE
120,1,1807-02-08 08:00:00,1807-02-08 08:00:00,1807-02-08 22:00:00,1807-02-08 22:00:00,840,840,FALSE
121,1,1807-06-14 17:30:00,1807-06-14 17:30:00,1807-06-14 23:00:00,1807-06-14 23:00:00,330,330,FALSE
122,1,1808-08-21 10:00:00,1808-08-21 10:00:00,1808-08-21 19:30:00,1808-08-21 19:30:00,570,570,FALSE
123,1,1809-01-16 14:00:00,1809-01-16 14:00:00,1809-01-16 18:00:00,1809-01-16 18:00:00,240,240,FALSE
124,1,1809-04-22 13:30:00,1809-04-22 13:30:00,1809-04-22 19:30:00,1809-04-22 19:30:00,360,360,FALSE
125,1,1809-05-21 13:00:00,1809-05-21 13:00:00,1809-05-21 20:30:00,1809-05-21 20:30:00,450,450,FALSE
125,2,1809-05-22 05:00:00,1809-05-22 05:00:00,1809-05-22 08:00:00,1809-05-22 08:00:00,180,180,FALSE
125,3,1809-05-22 10:00:00,1809-05-22 10:00:00,1809-05-22 15:00:00,1809-05-22 15:00:00,300,300,FALSE
126,1,1809-06-14 14:00:00,1809-06-14 14:00:00,1809-06-14 17:00:00,1809-06-14 17:00:00,180,180,FALSE
127,1,1809-07-05 19:00:00,1809-07-05 19:00:00,1809-07-05 20:30:00,1809-07-05 20:30:00,90,90,FALSE
127,2,1809-07-06 04:00:00,1809-07-06 04:00:00,1809-07-06 14:00:00,1809-07-06 14:00:00,600,600,FALSE
128,1,1809-07-28 05:00:00,1809-07-28 05:00:00,1809-07-28 05:40:00,1809-07-28 05:40:00,40,40,FALSE
128,2,1809-07-28 13:30:00,1809-07-28 13:30:00,1809-07-28 18:00:00,1809-07-28 18:00:00,270,270,FALSE
129,1,1810-09-27 05:45:00,1810-09-27 05:45:00,1810-09-27 14:00:00,1810-09-27 14:00:00,495,495,FALSE
130,1,1811-05-05 07:00:00,1811-05-05 07:00:00,1811-05-05 14:00:00,1811-05-05 14:00:00,420,420,FALSE
131,1,1811-05-16 09:00:00,1811-05-16 09:00:00,1811-05-16 14:50:00,1811-05-16 14:50:00,350,350,FALSE
132,1,1812-07-22 17:00:00,1812-07-22 17:00:00,1812-07-22 20:45:00,1812-07-22 20:45:00,225,225,FALSE
133,1,1813-06-21 08:30:00,1813-06-21 08:30:00,1813-06-21 19:30:00,1813-06-21 19:30:00,660,660,FALSE
134,1,1812-09-07 06:00:00,1812-09-07 06:00:00,1812-09-07 18:00:00,1812-09-07 18:00:00,720,720,FALSE
135,1,1813-05-02 11:45:00,1813-05-02 11:45:00,1813-05-02 21:00:00,1813-05-02 21:00:00,555,555,FALSE
136,1,1813-05-20 15:00:00,1813-05-20 15:00:00,1813-05-20 20:00:00,1813-05-20 20:00:00,300,300,FALSE
136,2,1813-05-21 05:00:00,1813-05-21 05:00:00,1813-05-21 17:00:00,1813-05-21 17:00:00,720,720,FALSE
137,1,1813-08-26 05:00:00,1813-08-26 05:00:00,1813-08-26 11:00:00,1813-08-26 11:00:00,360,360,FALSE
137,2,1813-08-26 14:00:00,1813-08-26 14:00:00,1813-08-26 20:00:00,1813-08-26 20:00:00,360,360,FALSE
137,3,1813-08-27 06:00:00,1813-08-27 06:00:00,1813-08-27 16:00:00,1813-08-27 16:00:00,600,600,FALSE
