isqno,name,war,war2,war3,cdb13_war,cdb13_theater,dbpedia,cow_warno,cow_warname,comment,sidea
117,AUSTERLITZ,THE NAPOLEONIC WARS,WAR OF THE THIRD COALITION,THE NAPOLEONIC WARS,War of the Third Coalition of 1803-1806,,Battle_of_Austerlitz,,,,B
118,JENA,THE NAPOLEONIC WARS,WAR OF THE THIRD COALITION,THE NAPOLEONIC WARS,War of the Fourth Coalition of 1806-1807,,Battle_of_Jena-Auerstedt,,,,A
119,AUERSTADT,THE NAPOLEONIC WARS,WAR OF THE THIRD COALITION,THE NAPOLEONIC WARS,War of the Fourth Coalition of 1806-1807,,Battle_of_Jena-Auerstedt,,,,B
120,EYLAU,THE NAPOLEONIC WARS,WAR OF THE THIRD COALITION,THE NAPOLEONIC WARS,War of the Fourth Coalition of 1806-1807,,Battle_of_Eylau,,,,A
121,FRIEDLAND,THE NAPOLEONIC WARS,WAR OF THE THIRD COALITION,THE NAPOLEONIC WARS,War of the Fourth Coalition of 1806-1807,,Battle_of_Friedland,,,,A
122,VIMIERO,THE NAPOLEONIC WARS,"THE PENINSULAR WAR, 1807-1809",THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,Battle_of_Vimeiro,,,,A
123,CORUNNA,THE NAPOLEONIC WARS,"THE PENINSULAR WAR, 1807-1809",THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,Battle_of_Corunna,,,,A
124,ECKMUEHL,THE NAPOLEONIC WARS,"WAR AGAINST AUSTRIA, 1809",THE NAPOLEONIC WARS,War of the Fifth Coalition of 1809,,Battle_of_Eckmühl,,,,A
125,ASPERN-ESSLING,THE NAPOLEONIC WARS,"WAR AGAINST AUSTRIA, 1809",THE NAPOLEONIC WARS,War of the Fifth Coalition of 1809,,Battle_of_Aspern-Essling,,,,A
126,THE RAAB,THE NAPOLEONIC WARS,"WAR AGAINST AUSTRIA, 1809",THE NAPOLEONIC WARS,War of the Fifth Coalition of 1809,,Battle_of_Raab,,,,B
127,WAGRAM,THE NAPOLEONIC WARS,"WAR AGAINST AUSTRIA, 1809",THE NAPOLEONIC WARS,War of the Fifth Coalition of 1809,,Battle_of_Wagram,,,,B
128,TALAVERA,THE NAPOLEONIC WARS,"THE PENINSULAR WAR, 1809-1814",THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,Battle_of_Talavera,,,,A
129,BUSSACO,THE NAPOLEONIC WARS,"THE PENINSULAR WAR, 1809-1814",THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,Battle_of_Bussaco,,,,A
130,FUENTES DE ONORO,THE NAPOLEONIC WARS,"THE PENINSULAR WAR, 1809-1814",THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,Battle_of_Fuentes_de_Oñoro,,,,A
131,ALBUERA,THE NAPOLEONIC WARS,"THE PENINSULAR WAR, 1809-1814",THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,Battle_of_Albuera,,,,A
132,SALAMANCA,THE NAPOLEONIC WARS,"THE PENINSULAR WAR, 1809-1814",THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,Battle_of_Salamanca,,,,B
133,VITTORIA,THE NAPOLEONIC WARS,"THE PENINSULAR WAR, 1809-1814",THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,Battle_of_Vittoria,,,,B
134,BORODINO,THE NAPOLEONIC WARS,"WAR WITH RUSSIA, 1812",THE NAPOLEONIC WARS,French Invasion of Russia of 1812,,Battle_of_Borodino,,,,A
135,LUETZEN,THE NAPOLEONIC WARS,"LEIPZIG CAMPAIGN, 1813",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,Battle_of_Lützen_(1813),,,,B
136,BAUTZEN,THE NAPOLEONIC WARS,"LEIPZIG CAMPAIGN, 1813",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,Battle_of_Bautzen,,,,A
137,DRESDEN,THE NAPOLEONIC WARS,"LEIPZIG CAMPAIGN, 1813",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,Battle_of_Dresden,,,,B
138,LEIPZIG,THE NAPOLEONIC WARS,"LEIPZIG CAMPAIGN, 1813",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,Battle_of_Leipzig,,,,B
139,HANAU,THE NAPOLEONIC WARS,"LEIPZIG CAMPAIGN, 1813",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,Battle_of_Hanau,,,,A
140,LA ROTHIERE,THE NAPOLEONIC WARS,"DEFENSE OF FANCE, 1814",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,Battle_of_La_Rothière,,,,B
141,LAON,THE NAPOLEONIC WARS,"DEFENSE OF FANCE, 1814",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,Battle_of_Laon,,,,A
142,ARCIS-SUR-AUBE,THE NAPOLEONIC WARS,"DEFENSE OF FANCE, 1814",THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,Battle_of_Arcis-sur-Aube,,,,B
143,LIGNY,THE NAPOLEONIC WARS,"THE HUNDRED DAYS, 1815",THE NAPOLEONIC WARS,Hundred Days of 1814,,Battle_of_Ligny,,,,A
144,QUATRE BRAS,THE NAPOLEONIC WARS,"THE HUNDRED DAYS, 1815",THE NAPOLEONIC WARS,Hundred Days of 1814,,Battle_of_Quatre_Bras,,,,A
145,WATERLOO,THE NAPOLEONIC WARS,"THE HUNDRED DAYS, 1815",THE NAPOLEONIC WARS,Hundred Days of 1814,,Battle_of_Waterloo,,,,A
146,THE THAMES,WAR OF 1812,WAR OF 1812,WAR OF 1812,War of 1812 of 1812-1815,,Battle_of_the_Thames,,,,A
147,CHIPPEWA,WAR OF 1812,WAR OF 1812,WAR OF 1812,War of 1812 of 1812-1815,,Battle_of_Chippawa,,,,B
